data,preco_reais
2016-01-04,81.64
2016-01-05,82.26
2016-01-06,81.84
2016-01-07,82.35
2016-01-08,83.16
2016-01-11,83.35
2016-01-12,85.7
2016-01-13,85.59
2016-01-14,85.05
2016-01-15,84.42
2016-01-18,83.98
2016-01-19,83.48
2016-01-20,82.39
2016-01-21,83.31
2016-01-22,82.94
2016-01-25,81.49
2016-01-26,80.91
2016-01-27,80.44
2016-01-28,80.73
2016-01-29,79.89
2016-02-01,79.32
2016-02-02,79.82
2016-02-03,79.67
2016-02-04,77.44
2016-02-05,76.69
2016-02-10,76.06
2016-02-11,76.88
2016-02-12,77.26
2016-02-15,77.54
2016-02-16,78.99
2016-02-17,78.96
2016-02-18,78.39
2016-02-19,78.92
2016-02-22,77.82
2016-02-23,77.07
2016-02-24,77.5
2016-02-25,76.56
2016-02-26,77.16
2016-02-29,76.71
2016-03-01,76.34
2016-03-02,75.3
2016-03-03,74.1
2016-03-04,73.58
2016-03-07,74.4
2016-03-08,74.63
2016-03-09,74.04
2016-03-10,73.45
2016-03-11,73.56
2016-03-14,73.45
2016-03-15,74.5
2016-03-16,75.15
2016-03-17,74.4
2016-03-18,73.74
2016-03-21,73.69
2016-03-22,74.63
2016-03-23,74.97
2016-03-24,75.74
2016-03-28,75.07
2016-03-29,75.65
2016-03-30,74.88
2016-03-31,74.34
2016-04-01,75.0
2016-04-04,74.9
2016-04-05,75.81
2016-04-06,76.03
2016-04-07,76.81
2016-04-08,75.45
2016-04-11,74.84
2016-04-12,75.42
2016-04-13,76.32
2016-04-14,76.42
2016-04-15,76.75
2016-04-18,78.53
2016-04-19,78.77
2016-04-20,79.76
2016-04-22,79.65
2016-04-25,81.7
2016-04-26,81.14
2016-04-27,82.66
2016-04-28,82.98
2016-04-29,81.91
2016-05-02,82.79
2016-05-03,84.55
2016-05-04,84.09
2016-05-05,83.42
2016-05-06,82.98
2016-05-09,83.09
2016-05-10,85.66
2016-05-11,85.55
2016-05-12,85.5
2016-05-13,85.79
2016-05-16,85.47
2016-05-17,86.05
2016-05-18,86.18
2016-05-19,87.32
2016-05-20,87.4
2016-05-23,87.91
2016-05-24,88.65
2016-05-25,89.31
2016-05-27,90.61
2016-05-30,90.84
2016-05-31,91.77
2016-06-01,92.61
2016-06-02,94.7
2016-06-03,96.26
2016-06-06,95.47
2016-06-07,95.48
2016-06-08,96.37
2016-06-09,96.3
2016-06-10,96.88
2016-06-13,97.51
2016-06-14,97.61
2016-06-15,97.44
2016-06-16,96.16
2016-06-17,96.78
2016-06-20,95.97
2016-06-21,94.85
2016-06-22,94.75
2016-06-23,93.81
2016-06-24,92.66
2016-06-27,94.17
2016-06-28,93.93
2016-06-29,92.42
2016-06-30,92.01
2016-07-01,92.31
2016-07-04,92.48
2016-07-05,91.18
2016-07-06,89.98
2016-07-07,89.04
2016-07-08,87.65
2016-07-11,89.12
2016-07-12,89.05
2016-07-13,91.18
2016-07-14,90.54
2016-07-15,89.17
2016-07-18,87.69
2016-07-19,86.37
2016-07-20,86.14
2016-07-21,85.28
2016-07-22,83.76
2016-07-25,82.58
2016-07-26,82.89
2016-07-27,83.01
2016-07-28,83.3
2016-07-29,84.03
2016-08-01,82.77
2016-08-02,81.5
2016-08-03,82.9
2016-08-04,81.45
2016-08-05,80.78
2016-08-08,80.81
2016-08-09,80.55
2016-08-10,79.62
2016-08-11,79.8
2016-08-12,79.9
2016-08-15,81.06
2016-08-16,81.62
2016-08-17,83.42
2016-08-18,83.54
2016-08-19,83.22
2016-08-22,83.42
2016-08-23,83.52
2016-08-24,83.36
2016-08-25,82.46
2016-08-26,81.52
2016-08-29,81.89
2016-08-30,80.62
2016-08-31,79.19
2016-09-01,79.47
2016-09-02,79.64
2016-09-05,79.8
2016-09-06,79.89
2016-09-08,79.92
2016-09-09,81.63
2016-09-12,80.85
2016-09-13,80.38
2016-09-14,80.1
2016-09-15,80.27
2016-09-16,80.18
2016-09-19,80.12
2016-09-20,80.2
2016-09-21,79.84
2016-09-22,79.11
2016-09-23,78.52
2016-09-26,78.11
2016-09-27,77.78
2016-09-28,77.95
2016-09-29,77.97
2016-09-30,77.77
2016-10-03,77.67
2016-10-04,77.47
2016-10-05,77.58
2016-10-06,77.32
2016-10-07,77.01
2016-10-10,76.82
2016-10-11,76.4
2016-10-13,75.83
2016-10-14,75.81
2016-10-17,75.86
2016-10-18,76.79
2016-10-19,76.36
2016-10-20,76.27
2016-10-21,76.37
2016-10-24,76.33
2016-10-25,76.1
2016-10-26,76.06
2016-10-27,77.12
2016-10-28,77.89
2016-10-31,77.01
2016-11-01,77.0
2016-11-03,76.86
2016-11-04,76.49
2016-11-07,76.55
2016-11-08,76.54
2016-11-09,77.03
2016-11-10,78.04
2016-11-11,78.93
2016-11-14,78.91
2016-11-16,77.94
2016-11-17,78.1
2016-11-18,78.09
2016-11-21,78.03
2016-11-22,78.71
2016-11-23,78.99
2016-11-24,79.28
2016-11-25,79.91
2016-11-28,80.12
2016-11-29,79.94
2016-11-30,79.99
2016-12-01,79.77
2016-12-02,80.08
2016-12-05,80.17
2016-12-06,80.39
2016-12-07,79.86
2016-12-08,79.84
2016-12-09,79.6
2016-12-12,79.41
2016-12-13,79.08
2016-12-14,78.59
2016-12-15,79.12
2016-12-16,79.59
2016-12-19,79.01
2016-12-20,78.44
2016-12-21,77.31
2016-12-22,76.77
2016-12-23,75.81
2016-12-26,76.17
2016-12-27,76.37
2016-12-28,75.95
2016-12-29,75.68
2017-01-02,77.22
2017-01-03,75.48
2017-01-04,74.52
2017-01-05,74.82
2017-01-06,74.3
2017-01-09,74.06
2017-01-10,74.48
2017-01-11,74.89
2017-01-12,74.89
2017-01-13,76.21
2017-01-16,76.49
2017-01-17,78.61
2017-01-18,79.29
2017-01-19,79.6
